_file,nym,gen,etym/lang,etym/nym
adalfrid_1_1.xml,Adalfrid,M,Old English; Old High German; Old English; Old High German; Old Saxon,
adalfrida_1_1.xml,Adalfrida,F,,Adalfrid
adalgard_1_1.xml,Adalgard,M,Old High German; Old Saxon; Old High German,
adalgarde_1_1.xml,Adalgarde,F,Old High German; Old Saxon; Old High German,
adalgaria_1_1.xml,Adalgaria,F,"Old High German; Old High German, Old Saxon",
adalgaud_1_1.xml,Adalgaud,M,Old High German,
adalger_1_1.xml,Adalger,M,Old English; Old High German; Old English; Old High German; Old Saxon,
adalgilde_1_1.xml,Adalgilde,F,Old High German; Proto-Germanic,
adalginde_1_1.xml,Adalginde,F,Old High German; Proto-Germanic,
adalgis_1_1.xml,Adalgis,M,Old German; Proto-Germanic,
adalgisa_1_1.xml,Adalgisa,F,Old German; Proto-Germanic,
adalgisdis_1_1.xml,Adalgisdis,F,Old High German; Proto-Germanic,
adalgod_1_1.xml,Adalgod,M,"Old High German; Old High German, Old Dutch; Old Saxon; Old Frisian; Old English",
adalgrim_1_1.xml,Adalgrim,M,"Old High German; Old High German, Old Saxon",
adalgude_1_1.xml,Adalgude,F,Old High German; Old High German; Old Frisian; Old Saxon,
adalgunde_1_1.xml,Adalgunde,F,Old High German; Old High German,
adalhar_1_1.xml,Adalhar,M,Old High German; Old High German,
adalhelm_1_1.xml,Adalhelm,M,Old High German; Old High German; Old Saxon,
adalhilde_1_1.xml,Adalhilde,F,Old English; Old High German; Old English; Old High German,
adalhoh_1_1.xml,Adalhoh,M,Old High German; Old High German; Old Saxon,
adalinde_1_1.xml,Adalinde,F,Old High German; Proto-Germanic,
adalmar_1_1.xml,Adalmar,M,Old English; Old High German; Old English; Old High German; Old Saxon; Proto-Germanic,
adalmod_1_1.xml,Adalmod,M,Old High German; Old High German,
adalmund_1_1.xml,Adalmund,M,Old English; Old High German; Old English; Old Saxon; Old High German,
adalrad_1_1.xml,Adalrad,M,Old English; Old High German; Old English; Old Saxon; Old High German,
adalrada_1_1.xml,Adalrada,F,Old High German; Old Saxon; Old High German,
adalram_1_1.xml,Adalram,M,Old High German; Old Saxon,
adalsad_1_1.xml,Adalsad,M,Old High German; Proto-Germanic; Latin,
adalsada_1_1.xml,Adalsada,F,,Adalsad
adalsinde_1_1.xml,Adalsinde,F,Old High German; Old Saxon; Gothic; Proto-Germanic,
adaltrude_1_1.xml,Adaltrude,F,Old High German; Proto-Germanic; Proto-Germanic,
adalwald_1_1.xml,Adalwald,M,Old English; Old High German; Old English; Old Saxon; Old High German,
adalward_1_1.xml,Adalward,M,Old High German; Old High German,
adalwi_1_1.xml,Adalwi,F,Old High German,
adaly_1_1.xml,Adaly,F,,Alice; Adeline
adam_1_1.xml,Adam,M,Classical Hebrew; Classical Hebrew,
adan_1_1.xml,Adan,F,Old High German,
adara_1_1.xml,Adara,F,,
adaria_1_1.xml,Adaria,F,,
adays_1_1.xml,Adays,M,,
adberg_1_1.xml,Adberg,F,Old High German; Old Saxon; Old High German,
adebert_1_1.xml,Adebert,M,Old Frankish; Old High German; Old High German; Old Saxon; Proto-Germanic,
adegar_1_1.xml,Adegar,M,Old Frankish; Old High German; Old High German; Old Saxon,
adegrim_1_1.xml,Adegrim,M,Old Frankish; Old High German; Old High German; Old Saxon,
adeka_1_1.xml,Adeka,M,Old High German,
adela_1_1.xml,Adela,F,Old English; Old High German,
adeline_1_1.xml,Adeline,F,Old High German,Alice; Adela
adelinus_1_1.xml,Adelinus,M,,
adelm_1_1.xml,Adelm,M,,
adelo_1_1.xml,Adelo,M,Old High German,
ademar_1_1.xml,Ademar,M,"Old High German; Old Frankish; Old High German, Old Saxon; Proto-Germanic",
adenulf_1_1.xml,Adenulf,M,,
aderich_1_1.xml,Aderich,M,Old Frankish; Old High German; Old High German,
aderon_1_1.xml,Aderon,F,,
adgan_1_1.xml,Adgan,M,Old Frankish; Old High German,
adgyth_1_1.xml,Adgyth,F,Old Frankish; Old High German,
adiel_1_1.xml,Adiel,M,Hebrew,
adiman_1_1.xml,Adiman,M,Old Frankish; Old High German; Old High German,
adjutor_1_1.xml,Adjutor,M,Latin,
adletha_1_1.xml,Adletha,F,,
admirabilis_1_1.xml,Admirabilis,F,,
admirable_1_1.xml,Admirable,M,Latin,
admiranda_1_1.xml,Admiranda,F,Latin,
ado_1_1.xml,Ado,M,Old High German,
adold_1_1.xml,Adold,M,,
adolf_1_1.xml,Adolf,M,Old High German; Old High German; Gothic,
adoma_1_1.xml,Adoma,F,,
adoram_1_1.xml,Adoram,M,,
adorisius_1_1.xml,Adorisius,M,,
adre_1_1.xml,Adre,M,,
adreas_1_1.xml,Adreas,M,,
adrebald_1_1.xml,Adrebald,M,Old Saxon; Old High German; Old High German,
adrebert_1_1.xml,Adrebert,M,Old Saxon; Old High German; Old High German; Old Saxon; Proto-Germanic,
adrehar_1_1.xml,Adrehar,M,Old Saxon; Old High German; Old High German,
adrehilde_1_1.xml,Adrehilde,F,Old Saxon; Old High German; Old High German,
adremar_1_1.xml,Adremar,M,"Old Saxon; Old High German; Old High German, Old Saxon; Proto-Germanic",
adrerulf_1_1.xml,Adrerulf,M,,
adrewic_1_1.xml,Adrewic,M,Old Saxon; Old High German; Old Saxon; Old English; Old High German,
adria_1_1.xml,Adria,F,,
adrian_1_1.xml,Adrian,M,Latin,
adriana_1_1.xml,Adriana,F,,Adrian
adrovar_1_1.xml,Adrovar,M,,
adrulf_1_1.xml,Adrulf,M,Old Saxon; Old High German; Old High German; Gothic,
aduward_1_1.xml,Aduward,M,Old Frankish; Old High German; Old High German,
advent_1_1.xml,Advent,M,,
advocat_1_1.xml,Advocat,M,Latin,
advoye_1_1.xml,Advoye,F,,
adwace_1_1.xml,Adwace,M,,
aetherig_1_1.xml,Aetherig,M,,
africana_1_1.xml,Africana,F,Latin,
aga_1_1.xml,Aga,F,Proto-Germanic,
agadeus_1_1.xml,Agadeus,M,Proto-Germanic; Old High German,
agamelono_1_1.xml,Agamelono,M,,
agano_1_1.xml,Agano,M,Old French; Proto-Germanic,
agapetus_1_1.xml,Agapetus,M,Greek,
agatha_1_1.xml,Agatha,F,Ancient Greek,
agazolla_1_1.xml,Agazolla,F,,
agbert_1_1.xml,Agbert,M,Proto-Germanic; Old High German; Old Saxon; Proto-Germanic,
agenard_1_1.xml,Agenard,M,Old French; Proto-Germanic; Old English; Old Saxon; Old High German,
agenilde_1_1.xml,Agenilde,F,Old French; Proto-Germanic; Old High German,
agenta_1_1.xml,Agenta,F,,
agerbert_1_1.xml,Agerbert,M,Proto-Germanic; Old French; Old High German; Old Saxon; Proto-Germanic,
aghy_1_1.xml,Aghy,M,,
agidulf_1_1.xml,Agidulf,M,Proto-Germanic; Old High German; Gothic,
agilde_1_1.xml,Agilde,F,Proto-Germanic; Old French,Agledeus; Agledrudis
agilo_1_1.xml,Agilo,M,Proto-Germanic; Old French,
agina_1_1.xml,Agina,F,Old French; Proto-Germanic,
aginbert_1_1.xml,Aginbert,M,Old French; Proto-Germanic; Old High German; Old Saxon; Proto-Germanic,
aginbod_1_1.xml,Aginbod,M,Old French; Proto-Germanic; Old High German,
agino_1_1.xml,Agino,M,Old French; Proto-Germanic,
aginteus_1_1.xml,Aginteus,M,Old French; Proto-Germanic; Old High German,
agintrude_1_1.xml,Agintrude,F,Old French; Proto-Germanic; Proto-Germanic; Proto-Germanic,
aginulf_1_1.xml,Aginulf,M,Old French; Proto-Germanic; Old High German; Gothic,
aglenilde_1_1.xml,Aglenilde,F,Proto-Germanic; Old French; Old High German,
aglentine_1_1.xml,Aglentine,F,,
aglid_1_1.xml,Aglid,F,Proto-Germanic; Old French,Agledeus; Agledrudis
agmar_1_1.xml,Agmar,M,,
agmirich_1_1.xml,Agmirich,M,,
agmund_1_1.xml,Agmund,M,Old Norse; Old Norse,
agnes_1_1.xml,Agnes,F,Greek,
agno_1_1.xml,Agno,M,Old French; Proto-Germanic,
agnolo_1_1.xml,Agnolo,M,,
ago_1_1.xml,Ago,M,Proto-Germanic,
agot_1_1.xml,Agot,M,,
agra_1_1.xml,Agra,F,,
agravain_1_1.xml,Agravain,M,,
agrest_1_1.xml,Agrest,M,,
agtrude_1_1.xml,Agtrude,F,Proto-Germanic; Proto-Germanic; Proto-Germanic,
agueda_1_1.xml,Agueda,F,,
aguilona_1_1.xml,Aguilona,F,,
agulf_1_1.xml,Agulf,M,Proto-Germanic; Old High German; Gothic; Old English,
ahaldisia_1_1.xml,Ahaldisia,F,,
ahasuerus_1_1.xml,Ahasuerus,M,Latin; Greek; Old Persian; Old Persian,
aicard_1_1.xml,Aicard,M,Proto-Germanic; Old Saxon; Old High German,
aicfrida_1_1.xml,Aicfrida,F,Proto-Germanic; Old High German; Old Saxon,
aichild_1_1.xml,Aichild,F,Proto-Germanic; Old High German,
aicler_1_1.xml,Aicler,M,,
aico_1_1.xml,Aico,M,Proto-Germanic,
aicusa_1_1.xml,Aicusa,F,,
aidmart_1_1.xml,Aidmart,M,,
aie_1_1.xml,Aie,U,,
aigesarre_1_1.xml,Aigesarre,M,,
aiglana_1_1.xml,Aiglana,F,Proto-Germanic; Old High German; Old Saxon,
aigue_1_1.xml,Aigue,M,,
aigulf_1_1.xml,Aigulf,M,Proto-Germanic; Old High German; Gothic,
aihie_1_1.xml,Aihie,F,,
aikia_1_1.xml,Aikia,M,,
ailbern_1_1.xml,Ailbern,M,Proto-Germanic; Old French; Old High German; Old Saxon,
ailbert_1_1.xml,Ailbert,M,Proto-Germanic; Old French; Old High German; Old Saxon; Proto-Germanic,
ailbrich_1_1.xml,Ailbrich,M,,
aileva_1_1.xml,Aileva,F,Proto-Germanic; Old French,
ailfrich_1_1.xml,Ailfrich,M,,
ailger_1_1.xml,Ailger,M,Proto-Germanic; Old French,
ailgrim_1_1.xml,Ailgrim,M,Proto-Germanic; Old French; Old High German; Old Saxon,
ailgwin_1_1.xml,Ailgwin,M,,
ailhard_1_1.xml,Ailhard,M,Proto-Germanic; Old French; Old Saxon; Old High German,
ailinari_1_1.xml,Ailinari,M,,
ailith_1_1.xml,Ailith,F,Old English; Old English,
ailnoth_1_1.xml,Ailnoth,M,,
ailwi_1_1.xml,Ailwi,M,,
ailín_1_1.xml,Ailín,M,,
aimerude_1_1.xml,Aimerude,F,Old High German; Old Frankish; Proto-Germanic; Proto-Germanic,
aimes_1_1.xml,Aimes,F,,
ainard_1_1.xml,Ainard,M,Old French; Proto-Germanic; Old Saxon; Old High German,
aincius_1_1.xml,Aincius,M,,
aindrich_1_1.xml,Aindrich,M,,
ainer_1_1.xml,Ainer,M,Old French; Proto-Germanic; Old English; Old High German,
ainilda_1_1.xml,Ainilda,F,,
ainlunugs_1_1.xml,Ainlunugs,M,,
aio_1_1.xml,Aio,M,Proto-Germanic,
airald_1_1.xml,Airald,M,,
airard_1_1.xml,Airard,M,Old High German; Old Saxon; Old High German,
airigh_1_1.xml,Airigh,M,,
aitard_1_1.xml,Aitard,M,Old High German; Old Saxon; Old High German,
aitfrid_1_1.xml,Aitfrid,M,Old High German; Old High German; Old Saxon,
aithlon_1_1.xml,Aithlon,M,,
aitilde_1_1.xml,Aitilde,F,Old High German; Old High German,
aitla_1_1.xml,Aitla,F,Old High German,
aitland_1_1.xml,Aitland,M,Old High German; Old High German; Old Saxon,
aitrich_1_1.xml,Aitrich,M,Old High German; Old High German,
aitulf_1_1.xml,Aitulf,M,Old High German; Old High German; Gothic,
aiulf_1_1.xml,Aiulf,M,Proto-Germanic; Old High German; Gothic,
aizivella_1_1.xml,Aizivella,F,Proto-Germanic; Proto-Germanic; Proto-Germanic; Proto-Germanic,
akkejoutsi_1_1.xml,Akkejoutsi,M,,
aladaicia_1_1.xml,Aladaicia,F,,
alafrid_1_1.xml,Alafrid,M,Proto-Germanic; Old High German; Old Saxon,
alamand_1_1.xml,Alamand,M,,
alamanda_1_1.xml,Alamanda,F,,
alan_1_1.xml,Alan,M,"Old Breton, Old Welsh",
alana_1_1.xml,Alana,F,,Alan
alanteus_1_1.xml,Alanteus,M,Proto-Germanic; Old High German,
alard_1_1.xml,Alard,M,Old English; Old High German; Old English; Old Saxon; Old High German,
alaric_1_1.xml,Alaric,M,Proto-Germanic; Old High German,
alba_1_1.xml,Alba,F,Latin; Old High German,
alban_1_1.xml,Alban,M,Latin; Old Irish,
albana_1_1.xml,Albana,F,,Alban
albengus_1_1.xml,Albengus,M,,
alberait_1_1.xml,Alberait,M,,
alberano_1_1.xml,Alberano,M,,
alberca_1_1.xml,Alberca,F,Old High German,
alberich_1_1.xml,Alberich,M,Proto-Germanic; Proto-Germanic,
albern_1_1.xml,Albern,M,,
albero_1_1.xml,Albero,M,Old High German; Old High German; Old Saxon,
albert_1_1.xml,Albert,M,Old High German; Old High German; Old Saxon; Proto-Germanic,
alberta_1_1.xml,Alberta,F,,Albert
albich_1_1.xml,Albich,M,,
albilde_1_1.xml,Albilde,F,Old High German; Old Frankish; Old High German,
albin_1_1.xml,Albin,M,Latin,
albina_1_1.xml,Albina,F,,Albin
albizzo_1_1.xml,Albizzo,M,,
alblinus_1_1.xml,Alblinus,M,,
albo_1_1.xml,Albo,M,Latin; Old High German,
albrand_1_1.xml,Albrand,M,Old High German; Old High German; Old Norse,
albrea_1_1.xml,Albrea,F,,
albreda_1_1.xml,Albreda,F,,
albulf_1_1.xml,Albulf,M,Old High German; Old High German; Gothic,
alburg_1_1.xml,Alburg,F,Old High German; Old High German; Old English; Old English,
alcanyz_1_1.xml,Alcanyz,M,,
alcfrida_1_1.xml,Alcfrida,F,Old High German; Old High German; Old Saxon,
alcher_1_1.xml,Alcher,M,Old High German; Old English; Old High German,
alchuus_1_1.xml,Alchuus,M,,
alcteus_1_1.xml,Alcteus,M,Old High German; Old High German,
alctrude_1_1.xml,Alctrude,F,Old High German; Proto-Germanic; Proto-Germanic,
alcwin_1_1.xml,Alcwin,M,Old English; Old High German; Old English; Old High German,
alda_1_1.xml,Alda,F,"Old High German; Old Saxon, Old Frisian",
aldan_1_1.xml,Aldan,F,,
aldebert_1_1.xml,Aldebert,M,Old High German; Old Saxon; Old Frisian; Old High German; Old Saxon; Proto-Germanic,
aldebrand_1_1.xml,Aldebrand,M,Old High German; Old Saxon; Old Frisian; Old High German; Old Norse,
aldeburg_1_1.xml,Aldeburg,F,,
aldegarde_1_1.xml,Aldegarde,F,Old High German; Old Saxon; Old Frisian; Old Saxon; Old High German,
aldeger_1_1.xml,Aldeger,M,Old High German; Old Saxon; Old Frisian; Old High German; Old Saxon,
aldem_1_1.xml,Aldem,M,,
aldeman_1_1.xml,Aldeman,M,Old High German; Old Saxon; Old Frisian; Old High German,
aldemar_1_1.xml,Aldemar,M,Old High German; Old Saxon; Old Frisian; Old High German; Old Saxon; Proto-Germanic,
alden_1_1.xml,Alden,M,Old High German; Old English; Old Saxon; Old Frisian,
alderich_1_1.xml,Alderich,M,,
aldetrude_1_1.xml,Aldetrude,F,Old High German; Old Saxon; Old Frisian; Proto-Germanic; Proto-Germanic,
aldfred_1_1.xml,Aldfred,M,Old High German; Old Saxon; Old Frisian; Old High German; Old Saxon,
aldhelm_1_1.xml,Aldhelm,M,Old English; Old High German; Old Saxon; Old Frisian; Old English; Old High German; Old Saxon,
aldiana_1_1.xml,Aldiana,F,,
aldid_1_1.xml,Aldid,M,,
aldis_1_1.xml,Aldis,F,,
aldith_1_1.xml,Aldith,F,Old English; Old English,
aldiva_1_1.xml,Aldiva,F,Old English; Old English,
aldo_1_1.xml,Aldo,M,"Old High German; Old Saxon, Old Frisian",
aldobrand_1_1.xml,Aldobrand,M,,
aldomara_1_1.xml,Aldomara,F,,
aldono_1_1.xml,Aldono,M,,
aldonza_1_1.xml,Aldonza,F,,
aldorisa_1_1.xml,Aldorisa,F,,
aldrada_1_1.xml,Aldrada,F,Old High German; Old Saxon; Old Frisian; Old Saxon; Old High German,
aldram_1_1.xml,Aldram,M,"Old High German; Old Saxon, Old Frisian; Old Saxon",
aldraus_1_1.xml,Aldraus,M,,
aldred_1_1.xml,Aldred,M,,
aldrem_1_1.xml,Aldrem,M,Old High German; Old Saxon; Old Frisian,
aldrich_1_1.xml,Aldrich,M,"Old High German; Old Saxon, Old Frisian; Old High German",
aldrighetto_1_1.xml,Aldrighetto,M,,
aldrovandolo_1_1.xml,Aldrovandolo,M,,
aldulf_1_1.xml,Aldulf,M,Old High German; Old Saxon; Old Frisian; Old High German; Gothic,
aldun_1_1.xml,Aldun,M,,
aldwin_1_1.xml,Aldwin,M,"Old English; Old High German; Old Saxon, Old Frisian; Old English; Old High German",
aleff_1_1.xml,Aleff,M,,
alegbrach_1_1.xml,Alegbrach,M,,
alena_1_1.xml,Alena,F,,
alerm_1_1.xml,Alerm,M,Old High German; Old High German; Old Saxon,
alethea_1_1.xml,Alethea,F,Greek,
alevria_1_1.xml,Alevria,F,,
alevutio_1_1.xml,Alevutio,M,,
alewius_1_1.xml,Alewius,M,,
alexander_1_1.xml,Alexander,M,Ancient Greek; Ancient Greek; Ancient Greek,
alexandra_1_1.xml,Alexandra,F,,Alexander
alexe_1_1.xml,Alexe,U,,
alexis_1_1.xml,Alexis,M,Ancient Greek,
alexo_1_1.xml,Alexo,M,,
alezis_1_1.xml,Alezis,F,,
alf_1_1.xml,Alf,M,Old Saxon; Old Norse,
alfajari_1_1.xml,Alfajari,M,,
alfan_1_1.xml,Alfan,M,,
alfdag_1_1.xml,Alfdag,M,"Old High German; Old Saxon, Old Dutch; Old High German",
alfegus_1_1.xml,Alfegus,M,,
alfer_1_1.xml,Alfer,M,Old High German,
alfgar_1_1.xml,Alfgar,M,Old English; Old English,
alfgot_1_1.xml,Alfgot,M,Old High German,
alfgrim_1_1.xml,Alfgrim,M,Old High German; Old High German; Old Saxon,
alfheah_1_1.xml,Alfheah,M,Old English; Old English,
alfhelm_1_1.xml,Alfhelm,M,Old English; Old English,
alfhild_1_1.xml,Alfhild,F,Old English; Old Norse; Old English; Old Norse,
alfrad_1_1.xml,Alfrad,F,Old High German,
alfred_1_1.xml,Alfred,M,Old English; Old Saxon; Old Norse; Old High German; Old English; Old Saxon; Old High German,
alfresina_1_1.xml,Alfresina,F,,
alfri_1_1.xml,Alfri,M,Old High German; Old High German; Old Saxon,
alfrith_1_1.xml,Alfrith,M,,
alfstan_1_1.xml,Alfstan,M,Old English; Old English,
alfsy_1_1.xml,Alfsy,M,Old English; Old English,
alfwald_1_1.xml,Alfwald,M,Old English; Old English,
alfward_1_1.xml,Alfward,M,Old High German; Old High German,
alfwet_1_1.xml,Alfwet,M,,
alfwid_1_1.xml,Alfwid,M,Old High German; Old High German; Old Saxon; Old Saxon; Old High German,
alfwin_1_1.xml,Alfwin,M,Old English; Old High German; Old English; Old High German,
algebeaivi_1_1.xml,Algebeaivi,M,,
algeberga_1_1.xml,Algeberga,F,Old High German; Old Norse; Old High German,
algisso_1_1.xml,Algisso,M,,
algonso_1_1.xml,Algonso,M,,
algot_1_1.xml,Algot,M,,
algrin_1_1.xml,Algrin,M,,
algus_1_1.xml,Algus,M,,
alibert_1_1.xml,Alibert,M,Gothic; Old High German; Old German; Latin; Old High German; Old Saxon; Proto-Germanic,
alice_1_1.xml,Alice,F,Old High German; Old High German; Old High German,
aligrin_1_1.xml,Aligrin,M,,
aliher_1_1.xml,Aliher,M,Gothic; Old High German; Old German; Latin; Old English; Old High German,
alim_1_1.xml,Alim,M,Gothic; Old High German; Old German; Latin,
alimold_1_1.xml,Alimold,M,Old High German; Old High German,
alinbert_1_1.xml,Alinbert,M,Gothic; Old High German; Old German; Latin; Old High German; Old Saxon; Proto-Germanic,
alinhilde_1_1.xml,Alinhilde,F,Gothic; Old High German; Old German; Latin; Old High German,
aliotti_1_1.xml,Aliotti,M,,
alius_1_1.xml,Alius,M,Gothic; Old High German; Old German; Latin,
aliva_1_1.xml,Aliva,F,Old English; Old English,
alizzeo_1_1.xml,Alizzeo,M,,
alker_1_1.xml,Alker,M,Old High German; Old High German,
alla_1_1.xml,Alla,M,,
alladius_1_1.xml,Alladius,M,Old High German; Old High German,
alleaume_1_1.xml,Alleaume,M,"Old High German; Old High German, Old Saxon",
allegra_1_1.xml,Allegra,F,Latin,
allegranza_1_1.xml,Allegranza,F,,
allegrezza_1_1.xml,Allegrezza,F,Italian; Latin,
allegro_1_1.xml,Allegro,M,Latin,
alleguin_1_1.xml,Alleguin,M,Proto-Germanic; Old High German,
alleran_1_1.xml,Alleran,M,,
allias_1_1.xml,Allias,M,,
allidinus_1_1.xml,Allidinus,M,,
allo_1_1.xml,Allo,M,Proto-Germanic,
allughe_1_1.xml,Allughe,M,,
allwende_1_1.xml,Allwende,F,,
almanric_1_1.xml,Almanric,M,,
almar_1_1.xml,Almar,M,,
almenara_1_1.xml,Almenara,F,,
almengar_1_1.xml,Almengar,M,,
almer_1_1.xml,Almer,M,,
almerad_1_1.xml,Almerad,M,Proto-Germanic; Old Saxon; Old High German,
almidano_1_1.xml,Almidano,M,,
alnoldus_1_1.xml,Alnoldus,M,,
alois_1_1.xml,Alois,F,Proto-Germanic; Old Saxon; Old High German,
alonso_1_1.xml,Alonso,M,,
alou_1_1.xml,Alou,M,,
alpacius_1_1.xml,Alpacius,M,,
alphard_1_1.xml,Alphard,M,Old High German; Old Saxon; Old High German,
alphea_1_1.xml,Alphea,F,Old High German,
alphonse_1_1.xml,Alphonse,M,Gothic; Gothic,
alpina_1_1.xml,Alpina,F,,
alpkis_1_1.xml,Alpkis,M,,
alrad_1_1.xml,Alrad,M,Proto-Germanic; Old Saxon; Old High German,
alrich_1_1.xml,Alrich,M,Old English; Old High German; Old English; Old High German,
alsarember_1_1.xml,Alsarember,M,,
alschik_1_1.xml,Alschik,U,,
also_1_1.xml,Also,M,,
alstan_1_1.xml,Alstan,M,,
alsteen_1_1.xml,Alsteen,F,,
alswin_1_1.xml,Alswin,M,,
alsy_1_1.xml,Alsy,M,,
alta_1_1.xml,Alta,F,,
altabella_1_1.xml,Altabella,F,Latin; Latin,
altadonna_1_1.xml,Altadonna,F,Latin; Latin,
altafrons_1_1.xml,Altafrons,F,Latin; Latin,
altberga_1_1.xml,Altberga,F,Old High German; Old Saxon; Old Frisian; Old High German,
altbert_1_1.xml,Altbert,M,Old High German; Old Saxon; Old Frisian; Old High German; Old Saxon; Proto-Germanic,
altberta_1_1.xml,Altberta,F,"Old High German; Old Saxon, Old Frisian",
alteria_1_1.xml,Alteria,F,Latin,
alterona_1_1.xml,Alterona,F,,
altgebert_1_1.xml,Altgebert,M,Old High German; Old Saxon; Old Frisian; Old High German; Old Saxon; Proto-Germanic,
altiera_1_1.xml,Altiera,F,,
altilde_1_1.xml,Altilde,F,Old High German; Old Saxon; Old Frisian; Old High German,
altman_1_1.xml,Altman,M,Old High German; Old English,
altoff_1_1.xml,Altoff,M,,
altremei_1_1.xml,Altremei,F,,
altrid_1_1.xml,Altrid,M,,
altrude_1_1.xml,Altrude,F,"Old High German; Old Saxon, Old Frisian; Proto-Germanic; Proto-Germanic",
